Date,VIX Open,VIX High,VIX Low,VIX Close,exa,delta,volatile,open_high,close_high,open_low,close_low,bench_1,bench_2,group_1,up_prev,up_next,ingeneo,prediction_reason_rate,up,tempRate
2020-09-04,34.62,38.28,29.5,30.75,39,-3.8699999999999974,8.780000000000001,3.6600000000000037,7.530000000000001,-5.119999999999997,-1.25,-11.178509532062385,25.361062969381866,3,11,0,0,[],0,50.0
2020-09-03,26.28,35.94,25.66,33.6,11,7.32,10.279999999999998,9.659999999999997,2.3399999999999963,-0.620000000000001,-7.940000000000001,27.85388127853881,39.11719939117198,5,20,39,3,"[{'rate': 100.0, 'feature': ['up_next', 'up_prev']}]",1,50.0
2020-09-02,26.01,27.07,25.53,26.57,20,0.5599999999999987,1.5399999999999991,1.0599999999999987,0.5,-0.4800000000000004,-1.0399999999999991,2.1530180699730823,5.9207996924259865,0,58,11,0,[],1,50.0
2020-09-01,25.86,26.59,25.02,26.12,58,0.26000000000000156,1.5700000000000003,0.7300000000000004,0.46999999999999886,-0.8399999999999999,-1.1000000000000014,1.0054137664346543,6.071152358855376,0,49,20,3,"[{'rate': 100.0, 'feature': ['exa', 'up_next']}, {'rate': 25.0, 'feature': ['up_next', 'up_prev']}]",1,50.0
2020-08-31,23.91,26.5,21.77,26.41,49,2.5,4.73,2.59,0.08999999999999986,-2.1400000000000006,-4.640000000000001,10.455876202425763,19.782517774989547,2,26,58,0,[],1,50.0
2020-08-28,24.59,26.3,22.64,22.96,26,-1.629999999999999,3.66,1.7100000000000009,3.34,-1.9499999999999993,-0.3200000000000003,-6.628710858072383,14.884099227328182,0,32,49,-3,"[{'rate': 0, 'feature': ['exa', 'up_prev']}, {'rate': 0, 'feature': ['up_next', 'up_prev']}]",0,50.0
2020-08-27,23.42,27.09,21.44,24.47,32,1.0499999999999972,5.649999999999999,3.669999999999998,2.620000000000001,-1.9800000000000004,-3.0299999999999976,4.483347566182737,24.12467976088812,0,3,26,0,[],1,50.0
2020-08-26,22.14,23.27,20.92,23.27,3,1.129999999999999,2.349999999999998,1.129999999999999,0.0,-1.2199999999999989,-2.349999999999998,5.103884372177051,10.61427280939475,9,50,32,0,[],1,50.0
2020-08-25,22.16,23.43,21.53,22.03,50,-0.129999999999999,1.8999999999999986,1.2699999999999996,1.3999999999999986,-0.629999999999999,-0.5,-0.5866425992779738,8.5740072202166,0,36,3,0,[],0,50.0
2020-08-24,22.87,23.18,21.25,22.37,36,-0.5,1.9299999999999997,0.3099999999999987,0.8099999999999987,-1.620000000000001,-1.120000000000001,-2.1862702229995628,8.43900306077831,0,11,50,-3,"[{'rate': 0, 'feature': ['exa', 'up_prev']}]",0,50.0
2020-08-21,22.58,24.47,22.06,22.54,11,-0.03999999999999915,2.41,1.8900000000000006,1.9299999999999997,-0.5199999999999996,-0.4800000000000004,-0.17714791851195372,10.67316209034544,5,8,36,0,[],0,50.0
2020-08-20,24.1,24.6,22.37,22.72,8,-1.3800000000000026,2.2300000000000004,0.5,1.8800000000000026,-1.7300000000000004,-0.34999999999999787,-5.726141078838184,9.253112033195023,0,51,11,0,[],0,50.0
2020-08-19,21.6,22.98,20.99,22.54,51,0.9399999999999977,1.990000000000002,1.379999999999999,0.4400000000000013,-0.610000000000003,-1.5500000000000007,4.3518518518518405,9.21296296296297,2,57,8,3,"[{'rate': 100.0, 'feature': ['exa', 'up_next']}]",1,50.0
2020-08-18,21.69,22.55,21.18,21.51,57,-0.17999999999999972,1.370000000000001,0.8599999999999994,1.0399999999999991,-0.5100000000000016,-0.33000000000000185,-0.8298755186721978,6.316274781005076,1,21,51,-3,"[{'rate': 0, 'feature': ['up_next', 'up_prev']}]",0,50.0
2020-08-17,22.52,22.82,21.34,21.35,21,-1.1699999999999982,1.4800000000000004,0.3000000000000007,1.4699999999999989,-1.1799999999999997,-0.010000000000001563,-5.195381882770862,6.571936056838368,5,24,57,-3,"[{'rate': 0, 'feature': ['exa', 'up_prev']}]",0,50.0
2020-08-14,22.27,23.55,21.79,22.05,24,-0.21999999999999886,1.7600000000000016,1.2800000000000011,1.5,-0.4800000000000004,-0.26000000000000156,-0.987876066457112,7.903008531656945,0,1,21,0,[],0,50.0
2020-08-13,22.2,22.92,21.45,22.13,1,-0.07000000000000028,1.4700000000000024,0.7200000000000024,0.7900000000000027,-0.75,-0.6799999999999997,-0.3153153153153166,6.6216216216216335,9,43,24,0,[],0,50.0
2020-08-12,22.82,22.88,21.54,22.28,43,-0.5399999999999991,1.3399999999999999,0.05999999999999872,0.5999999999999979,-1.2800000000000011,-0.740000000000002,-2.3663453111305834,5.872042068361086,2,42,1,-3,"[{'rate': 0, 'feature': ['up_next', 'up_prev']}]",0,50.0
2020-08-11,21.85,24.93,20.28,24.03,42,2.1799999999999997,4.649999999999999,3.0799999999999983,0.8999999999999986,-1.5700000000000003,-3.75,9.977116704805491,21.281464530892443,0,36,43,3,"[{'rate': 100.0, 'feature': ['up_next', 'up_prev']}]",1,50.0
2020-08-10,22.88,23.52,21.46,22.13,36,-0.75,2.0599999999999987,0.6400000000000006,1.3900000000000006,-1.4199999999999982,-0.6699999999999982,-3.277972027972028,9.003496503496498,0,44,42,0,[],0,50.0
2020-08-07,23.45,24.02,22.02,22.21,44,-1.2399999999999984,2.0,0.5700000000000003,1.8099999999999987,-1.4299999999999997,-0.19000000000000128,-5.2878464818763256,8.528784648187633,0,27,36,0,[],0,50.0
2020-08-06,23.03,24.11,20.97,22.65,27,-0.38000000000000256,3.1400000000000006,1.0799999999999983,1.4600000000000009,-2.0600000000000023,-1.6799999999999997,-1.6500217108119954,13.63438992618324,4,26,44,-3,"[{'rate': 0, 'feature': ['exa', 'up_prev']}, {'rate': 0, 'feature': ['up_next', 'up_prev']}]",0,50.0
2020-08-05,23.44,23.61,22.86,22.99,26,-0.45000000000000284,0.75,0.16999999999999815,0.620000000000001,-0.5800000000000018,-0.129999999999999,-1.9197952218430152,3.199658703071672,0,7,27,-3,"[{'rate': 0, 'feature': ['exa', 'up_next']}]",0,50.0
2020-08-04,24.01,24.76,22.92,23.76,7,-0.25,1.8399999999999999,0.75,1.0,-1.0899999999999999,-0.8399999999999999,-1.0412328196584755,7.66347355268638,9,24,26,0,[],0,50.0
2020-08-03,25.75,26.01,22.17,24.28,24,-1.4699999999999989,3.84,0.26000000000000156,1.7300000000000004,-3.5799999999999983,-2.1099999999999994,-5.708737864077666,14.9126213592233,0,7,7,-3,"[{'rate': 0, 'feature': ['exa', 'up_prev']}, {'rate': 0, 'feature': ['up_next', 'up_prev']}]",0,50.0
2020-07-31,24.79,26.41,23.55,24.46,7,-0.3299999999999983,2.8599999999999994,1.620000000000001,1.9499999999999993,-1.2399999999999984,-0.9100000000000001,-1.3311819281968467,11.53691004437273,9,59,24,0,[],0,50.0
2020-07-30,25.04,28.29,24.64,24.76,59,-0.2799999999999976,3.6499999999999986,3.25,3.5299999999999976,-0.3999999999999986,-0.120000000000001,-1.1182108626197986,14.576677316293923,1,29,7,-3,"[{'rate': 0, 'feature': ['up_next', 'up_prev']}]",0,50.0
2020-07-29,25.16,25.42,23.73,24.1,29,-1.0599999999999987,1.6900000000000013,0.26000000000000156,1.3200000000000003,-1.4299999999999997,-0.370000000000001,-4.213036565977737,6.717011128775839,4,32,59,0,[],0,50.0
2020-07-28,24.86,25.85,24.05,25.44,32,0.5800000000000018,1.8000000000000007,0.990000000000002,0.41000000000000014,-0.8099999999999987,-1.3900000000000006,2.3330651649235796,7.240547063555916,0,27,29,0,[],1,50.0
2020-07-27,26.6,26.94,24.55,24.74,27,-1.860000000000003,2.3900000000000006,0.33999999999999986,2.200000000000003,-2.0500000000000007,-0.18999999999999773,-6.99248120300753,8.984962406015038,4,26,32,-3,"[{'rate': 0, 'feature': ['exa', 'up_prev']}, {'rate': 0, 'feature': ['exa', 'up_next']}]",0,50.0
2020-07-24,27.96,28.58,25.53,25.84,26,-2.120000000000001,3.049999999999997,0.6199999999999974,2.7399999999999984,-2.4299999999999997,-0.3099999999999987,-7.582260371959946,10.908440629470661,0,51,27,-3,"[{'rate': 0, 'feature': ['exa', 'up_next']}]",0,50.0
2020-07-23,23.97,26.95,23.6,26.08,51,2.1099999999999994,3.349999999999998,2.9800000000000004,0.870000000000001,-0.36999999999999744,-2.479999999999997,8.80267000417188,13.975803087192315,2,48,26,0,[],1,50.0
2020-07-22,24.56,26.26,24.13,24.32,48,-0.23999999999999844,2.1300000000000026,1.7000000000000028,1.9400000000000013,-0.4299999999999997,-0.19000000000000128,-0.9771986970683976,8.672638436482096,0,10,51,-3,"[{'rate': 0, 'feature': ['exa', 'up_prev']}, {'rate': 0, 'feature': ['exa', 'up_next']}, {'rate': 0, 'feature': ['up_next', 'up_prev']}]",0,50.0
2020-07-21,24.08,25.65,23.61,24.84,10,0.7600000000000016,2.039999999999999,1.5700000000000003,0.8099999999999987,-0.46999999999999886,-1.2300000000000004,3.156146179402,8.47176079734219,0,33,48,3,"[{'rate': 100.0, 'feature': ['exa', 'up_next']}, {'rate': 100.0, 'feature': ['up_next', 'up_prev']}]",1,50.0
2020-07-20,26.94,27.08,24.35,24.46,33,-2.4800000000000004,2.729999999999997,0.13999999999999702,2.6199999999999974,-2.59,-0.10999999999999943,-9.205642167780253,10.133630289532283,3,11,10,0,[],0,50.0
2020-07-17,27.15,27.54,25.41,25.68,11,-1.4699999999999989,2.129999999999999,0.39000000000000057,1.8599999999999994,-1.7399999999999984,-0.2699999999999996,-5.414364640883973,7.845303867403311,5,6,33,0,[],0,50.0
2020-07-16,28.41,29.29,26.98,28.0,6,-0.41000000000000014,2.3099999999999987,0.879999999999999,1.2899999999999991,-1.4299999999999997,-1.0199999999999996,-1.44315381907779,8.130939809926078,0,26,11,-3,"[{'rate': 0, 'feature': ['exa', 'up_next']}, {'rate': 0, 'feature': ['up_next', 'up_prev']}]",0,50.0
2020-07-15,29.15,30.09,27.17,27.76,26,-1.389999999999997,2.919999999999998,0.9400000000000013,2.3299999999999983,-1.9799999999999969,-0.5899999999999999,-4.76843910806174,10.017152658662088,0,49,6,-3,"[{'rate': 0, 'feature': ['up_next', 'up_prev']}]",0,50.0
2020-07-14,31.14,33.67,29.21,29.52,49,-1.620000000000001,4.460000000000001,2.530000000000001,4.150000000000002,-1.9299999999999997,-0.3099999999999987,-5.202312138728327,14.322414900449584,2,42,26,-3,"[{'rate': 0, 'feature': ['exa', 'up_next']}]",0,50.0
2020-07-13,27.85,32.45,26.87,32.19,42,4.339999999999996,5.580000000000002,4.600000000000001,0.2600000000000051,-0.9800000000000004,-5.319999999999997,15.58348294434469,20.03590664272891,0,26,49,0,[],1,50.0
2020-07-10,30.86,30.91,27.13,27.29,26,-3.5700000000000003,3.780000000000001,0.05000000000000071,3.620000000000001,-3.7300000000000004,-0.16000000000000014,-11.568373298768634,12.248865845755025,0,19,42,-2,"[{'rate': 25.0, 'feature': ['exa', 'up_next']}]",0,50.0
2020-07-09,28.18,31.48,26.11,29.26,19,1.0800000000000018,5.370000000000001,3.3000000000000007,2.219999999999999,-2.0700000000000003,-3.150000000000002,3.832505322924066,19.056068133427967,5,40,26,3,"[{'rate': 100.0, 'feature': ['exa', 'up_prev']}]",1,50.0
2020-07-08,28.95,30.2,27.24,28.08,40,-0.870000000000001,2.960000000000001,1.25,2.120000000000001,-1.7100000000000009,-0.8399999999999999,-3.0051813471502626,10.224525043177895,0,39,19,-3,"[{'rate': 0, 'feature': ['exa', 'up_next']}, {'rate': 0, 'feature': ['up_next', 'up_prev']}]",0,50.0
2020-07-07,28.77,29.63,27.25,29.43,39,0.6600000000000001,2.379999999999999,0.8599999999999994,0.1999999999999993,-1.5199999999999996,-2.1799999999999997,2.2940563086548496,8.272506082725057,3,24,40,0,[],1,50.0
2020-07-06,27.76,28.33,24.92,27.94,24,0.17999999999999972,3.4099999999999966,0.5699999999999967,0.389999999999997,-2.84,-3.0199999999999996,0.648414985590777,12.283861671469728,0,3,39,3,"[{'rate': 100.0, 'feature': ['exa', 'up_next']}]",1,50.0
2020-07-02,28.33,28.44,25.9,27.68,3,-0.6499999999999986,2.5400000000000027,0.11000000000000298,0.7600000000000016,-2.4299999999999997,-1.7800000000000011,-2.2943875750088196,8.965760677726802,9,49,24,0,[],0,50.0
2020-07-01,30.96,31.76,28.2,28.62,49,-2.34,3.5600000000000023,0.8000000000000007,3.1400000000000006,-2.7600000000000016,-0.4200000000000017,-7.55813953488372,11.498708010335925,2,27,3,-3,"[{'rate': 0, 'feature': ['exa', 'up_prev']}]",0,50.0
2020-06-30,32.54,32.94,29.56,30.43,27,-2.1099999999999994,3.379999999999999,0.3999999999999986,2.509999999999998,-2.9800000000000004,-0.870000000000001,-6.484326982175783,10.387215734480638,4,7,49,0,[],0,50.0
2020-06-29,35.05,36.31,31.78,31.78,7,-3.269999999999996,4.530000000000001,1.2600000000000051,4.530000000000001,-3.269999999999996,0.0,-9.329529243937221,12.9243937232525,9,11,27,-3,"[{'rate': 0, 'feature': ['up_next', 'up_prev']}]",0,50.0
2020-06-26,33.01,36.25,31.04,34.73,11,1.7199999999999989,5.210000000000001,3.240000000000002,1.5200000000000031,-1.9699999999999989,-3.6899999999999977,5.210542259921233,15.78309603150561,5,28,7,-2,"[{'rate': 25.0, 'feature': ['up_next', 'up_prev']}]",1,50.0
2020-06-25,36.59,36.93,31.59,32.22,28,-4.3700000000000045,5.34,0.3399999999999963,4.710000000000001,-5.0000000000000036,-0.629999999999999,-11.943153867176836,14.594151407488384,4,45,11,0,[],0,50.0
2020-06-24,31.05,37.12,30.95,33.84,45,2.7900000000000027,6.169999999999998,6.069999999999997,3.279999999999994,-0.10000000000000142,-2.890000000000004,8.98550724637682,19.87117552334943,2,49,28,3,"[{'rate': 100.0, 'feature': ['exa', 'up_prev']}]",1,50.0
2020-06-23,31.71,31.71,29.26,31.37,49,-0.33999999999999986,2.4499999999999993,0.0,0.33999999999999986,-2.4499999999999993,-2.1099999999999994,-1.072216966256701,7.726269315673287,2,35,45,-3,"[{'rate': 0, 'feature': ['exa', 'up_next']}]",0,50.0
2020-06-22,35.22,35.39,31.64,31.77,35,-3.4499999999999993,3.75,0.1700000000000017,3.620000000000001,-3.5799999999999983,-0.129999999999999,-9.795570698466777,10.647359454855195,3,49,49,1,"[{'rate': 75.0, 'feature': ['exa', 'up_prev']}, {'rate': 0, 'feature': ['up_next', 'up_prev']}]",0,50.0
2020-06-19,32.07,35.12,30.4,35.12,49,3.049999999999997,4.719999999999999,3.049999999999997,0.0,-1.6700000000000017,-4.719999999999999,9.510445899594627,14.717804801995632,2,23,35,3,"[{'rate': 100.0, 'feature': ['exa', 'up_prev']}, {'rate': 75.0, 'feature': ['exa', 'up_next']}]",1,50.0
2020-06-18,33.83,36.25,32.24,32.94,23,-0.8900000000000006,4.009999999999998,2.4200000000000017,3.3100000000000023,-1.5899999999999963,-0.6999999999999957,-2.6308010641442525,11.853384569908359,4,64,49,-2,"[{'rate': 25.0, 'feature': ['exa', 'up_prev']}]",0,50.0
2020-06-17,33.28,35.17,32.25,33.47,64,0.18999999999999773,2.9200000000000017,1.8900000000000006,1.7000000000000028,-1.0300000000000011,-1.2199999999999989,0.5709134615384547,8.774038461538467,0,59,23,-2,"[{'rate': 25.0, 'feature': ['exa', 'up_next']}]",1,50.0
